	module	trimmed_erpe_2018_pw_0hr_WHONDRS.PP48.000085_95ID.sorted	trimmed_erpe_2018_pw_3hr_WHONDRS.PP48.000086_95ID.sorted	trimmed_erpe_2018_pw_6hr_WHONDRS.PP48.000087_95ID.sorted	trimmed_erpe_2018_pw_9hr_WHONDRS.PP48.000088_95ID.sorted	trimmed_erpe_2018_pw_12hr_WHONDRS.PP48.000089_95ID.sorted	trimmed_erpe_2018_pw_15hr_WHONDRS.PP48.000090_95ID.sorted	trimmed_erpe_2018_pw_18hr_WHONDRS.PP48.000091_95ID.sorted	trimmed_erpe_2018_pw_21hr_WHONDRS.PP48.000092_95ID.sorted	trimmed_erpe_2018_pw_24hr_WHONDRS.PP48.000093_95ID.sorted	trimmed_erpe_2018_pw_27hr_WHONDRS.PP48.000094_95ID.sorted	trimmed_erpe_2018_pw_30hr_WHONDRS.PP48.000095_95ID.sorted	trimmed_erpe_2018_pw_33hr_WHONDRS.PP48.000096_95ID.sorted	trimmed_erpe_2018_pw_36hr_WHONDRS.PP48.000097_95ID.sorted	trimmed_erpe_2018_pw_39hr_WHONDRS.PP48.000098_95ID.sorted	trimmed_erpe_2018_pw_42hr_WHONDRS.PP48.000099_95ID.sorted	trimmed_erpe_2018_pw_45hr_WHONDRS.PP48.000100_95ID.sorted	trimmed_erpe_2018_pw_48hr_WHONDRS.PP48.000101_95ID.sorted
erpe_2018_pw_9hr_WHONDRS-PP48-000088_A_NODE_7_length_41777_cov_6.017119__full-cat_1	blue	142.1548113	240.0695847	171.8457837	528.0177457	99.21741625	421.0397202	522.2549682	102.8346506	216.3658835	305.2531571	161.652708	517.7067431	114.7699591	116.6126155	118.2356302	192.5840902	268.4465528
erpe_2018_pw_9hr_WHONDRS-PP48-000088_A_NODE_8_length_40614_cov_5.740534__full-cat_1	blue	132.3344857	241.1710739	596.922168	428.3406191	83.12582373	438.7920824	415.1188243	371.7846511	933.8162506	599.1787049	218.5946875	466.1236437	141.5805933	83.23307927	61.30200644	107.6640616	433.0863305
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_61784__full-cat_2	turquoise	3.838563761	0	0	45.17090331	7.615223746	24.21653753	66.99382294	0	0	0	0	0	0	0	8.997132611	12.65052724	0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_142881__full-cat_1	blue	38.91344013	96.38031042	121.4160487	65.70860735	12.37684924	156.0085306	49.85743722	19.87536849	99.96936425	55.97171641	58.40290144	71.04399599	23.13985411	16.57554156	0	0	50.89880586
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_452607__full-cat_1	turquoise	0	0	0	54.98804629	9.067350668	0	67.46608554	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_876214__full-cat_1	turquoise	0	0	0	28.60823876	4.322610375	0	30.89946718	0	0	0	0	0	0	0	0	0	0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_1198905__full-cat_2	turquoise	0	0	0	45.47204266	0	0	24.82751948	0	0	37.61062425	21.91382864	0	0	0	0	15.5664289	0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_F_scaffold_66__full-cat_2	blue	18.21718385	31.3373695	69.122998	99.25553154	23.16648998	133.6251174	87.23364861	47.56594553	194.9880791	313.9894832	232.558383	391.2109152	102.8747731	47.64516309	41.1380147	78.99850519	166.5373209
erpe_2018_pw_9hr_WHONDRS-PP48-000088_F_scaffold_95__full-cat_1	blue	5.326007218	22.58052987	59.14524351	57.39716114	9.725873343	52.00284354	44.5613495	47.2285984	107.5078532	94.54481726	45.4244789	84.76041106	31.59658794	18.73315416	11.8901013	25.1664744	75.00876653
erpe_2018_pw_9hr_WHONDRS-PP48-000088_F_scaffold_97__full-cat_2	blue	21.3360169	40.53480484	88.83807917	121.3591602	26.99942964	158.2275759	108.6878638	62.40921932	245.2259194	384.0281653	272.3430238	456.627664	117.8366868	54.80336021	48.8333114	95.2826945	219.8917709
