	trimmed_erpe_2018_sw_0hr_WHONDRS.SW48.000085_95ID.sorted	trimmed_erpe_2018_sw_3hr_WHONDRS.SW48.000086_95ID.sorted	trimmed_erpe_2018_sw_6hr_WHONDRS.SW48.000087_95ID.sorted	trimmed_erpe_2018_sw_9hr_WHONDRS.SW48.000088_95ID.sorted	trimmed_erpe_2018_sw_12hr_WHONDRS.SW48.000089_95ID.sorted	trimmed_erpe_2018_sw_15hr_WHONDRS.SW48.000090_95ID.sorted	trimmed_erpe_2018_sw_18hr_WHONDRS.SW48.000091_95ID.sorted	trimmed_erpe_2018_sw_21hr_WHONDRS.SW48.000092_95ID.sorted	trimmed_erpe_2018_sw_24hr_WHONDRS.SW48.000093_95ID.sorted	trimmed_erpe_2018_sw_27hr_WHONDRS.SW48.000094_95ID.sorted	trimmed_erpe_2018_sw_30hr_WHONDRS.SW48.000095_95ID.sorted	trimmed_erpe_2018_sw_33hr_WHONDRS.SW48.000096_95ID.sorted	trimmed_erpe_2018_sw_39hr_WHONDRS.SW48.000098_95ID.sorted	trimmed_erpe_2018_sw_42hr_WHONDRS.SW48.000099_95ID.sorted	trimmed_erpe_2018_sw_45hr_WHONDRS.SW48.000100_95ID.sorted
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_12283__full-cat_1	11.37581355	12.74509337	8.933995232	5.098166075	11.30143709	8.738219242	8.620071739	9.061290307	13.09574946	13.7606767	7.974462325	6.518271012	8.252888909	4.73229779	4.763098952
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_30641__full-cat_1	7.121309142	7.190445103	8.018861277	5.925500044	7.693944997	7.642171029	6.738665513	6.027164498	7.476744074	5.815674371	5.68421882	8.566307826	5.113202911	6.558955783	8.50474932
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_53888__full-cat_2	10.04628093	7.72001962	9.494514779	8.463402893	8.325765646	9.080105841	8.177081353	6.92476005	7.43095474	8.020749169	8.426992367	11.45128276	5.621533025	6.617158121	11.74848927
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_54871__full-cat_2	27.57118289	6.201906006	18.25120281	8.284519873	13.83891034	12.64980415	5.534773994	2.89506171	0	20.30857056	8.17865271	4.686853477	16.16689108	2.892208489	0
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_140417__full-cat_2	16.41141838	19.87669686	18.71448937	18.31314919	17.92536324	18.4819873	20.0804936	18.44811703	24.41225624	18.21290787	15.82199549	16.33506285	15.87784062	13.76261439	11.41166751
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_148723__full-cat_2	9.838541452	6.390199167	9.05982615	9.603782146	10.59828185	11.85542058	13.73791361	17.37037026	12.69672813	13.39035879	10.83864637	8.526922502	14.39271931	13.84320224	10.17055257
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_165241__full-cat_2	7.60326472	4.318974391	7.401145858	8.139177419	7.938520732	5.610962413	7.989461896	6.570778705	6.10306406	8.332152862	7.842014508	7.128743524	7.365803024	7.199181502	12.26104411
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_150770__full-cat_1	13.49475618	15.39296595	15.36853085	13.51684821	13.99177017	15.27428657	13.35225139	11.95003092	13.52747747	13.18836721	14.29332694	15.66551236	10.00712617	16.6906397	23.68369494
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_168761__full-cat_2	6.67259188	6.166601038	6.846345898	7.088239675	10.03779579	8.788496683	10.7672722	10.11691324	12.97800546	12.16157665	9.160974021	9.393399616	12.27966079	8.390090879	16.72759348
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_172555__full-cat_1	12.53084502	8.061300975	11.10171879	11.41497273	10.64923513	13.02185721	16.40106757	20.24330813	14.60025614	17.63218207	18.60891831	14.22794806	21.59904622	20.11114633	29.98079732
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_174439__full-cat_2	5.700371145	4.848548908	6.995055165	6.31680665	8.111761878	7.642171029	9.521687465	12.44307636	8.503733417	10.00699975	8.807779842	6.02595447	10.24634034	9.464595581	6.696162939
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_231885__full-cat_2	9.049131454	7.190445103	8.836762249	9.581421769	7.907948765	9.230938164	11.78354426	14.93358797	11.67628012	13.74384406	13.68627444	11.15589283	16.79482828	14.8460733	20.60836587
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_261533__full-cat_2	5.791776514	5.036842069	5.479364553	4.282012296	6.083821408	4.897022751	4.471597069	3.568258373	4.343445376	4.107162219	4.227292831	4.411156214	3.269260341	3.886125338	5.564881174
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_286588__full-cat_2	34.08589277	22.21859305	33.92859137	35.43001819	44.50259312	45.51113957	54.63374367	76.45048875	57.4067419	60.71530378	53.28265312	41.53182346	73.86734264	74.64673705	56.68856585
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_303481__full-cat_2	9.198703874	4.81324394	6.405937682	6.764014201	8.87606105	7.028786249	5.837049787	4.108712033	4.977954716	7.465272312	6.026375681	6.72504396	5.15307194	4.257724881	5.53193122
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_337556__full-cat_1	4.080003254	3.9070831	4.404082156	3.913066067	5.095327813	4.213249554	5.545197297	5.085321278	5.547050721	4.755218552	4.012065128	4.421002544	4.574971026	4.414423483	7.933616779
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_343663__full-cat_2	5.251653883	0	2.430824567	0	0	0	1.167409957	1.56447112	1.936234686	5.630515419	2.980075886	2.087422137	0	1.137184143	2.84467939
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_353188__full-cat_2	6.107540513	0	7.338230398	5.366490606	5.635432561	6.224347193	6.410331462	5.139050589	5.187277385	4.494312756	5.176502188	5.31701865	0	4.136843102	6.267813533
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_354776__full-cat_2	5.841633987	7.025688587	7.841554073	5.51183306	5.197234369	4.806523358	3.580404646	2.386213527	5.128405384	6.581559129	3.82994938	4.706546139	4.285920569	2.131100992	0
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_361460__full-cat_1	4.977437778	7.496421491	4.140981145	0	4.626557654	4.313804436	3.215589034	3.22691922	4.997578716	5.117120141	3.680945586	0	0	2.69521596	2.258902424
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_457370__full-cat_2	9.381514611	7.378738265	6.14283667	5.209967963	5.635432561	7.370672848	4.747814603	2.872937875	6.43013073	4.763634868	3.53746045	2.471429039	3.82742674	1.652050979	1.076365174
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_474891__full-cat_2	4.836174937	0	4.472717203	4.505616071	4.106834217	4.213249554	4.299612566	4.339432017	3.499613368	4.022999059	3.371900679	0	0	0	3.089973494
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_627930__full-cat_2	6.838783459	4.730865682	6.90354177	7.032338731	6.328397143	6.395290493	7.791419135	5.941829709	5.246149385	7.835590217	6.798987948	6.715197629	6.458782625	7.324540383	11.43729525
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_670807__full-cat_1	8.201554403	7.625873039	8.127533434	6.372707594	7.622610408	7.360617359	6.884591758	5.29075688	5.802162724	6.202824908	6.627909518	6.626580651	4.515167483	5.457588464	8.717093471
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_719045__full-cat_1	4.611816306	5.025073747	3.860721371	3.767723613	5.492763382	4.806523358	3.966066864	2.961433212	5.318104053	4.603724864	3.118042363	2.166192783	3.608147083	3.089201017	1.907436244
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_737948__full-cat_2	5.35136883	0	3.774927563	3.43231795	3.495394879	4.927189216	2.928948197	1.488617975	1.537213349	0	2.698624275	2.461582709	3.648016112	2.149009403	0.915276509
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_k121_771038__full-cat_2	10.38697366	6.119527748	9.917764233	9.83856611	10.52694726	8.13488995	11.56986654	8.700987867	7.136594737	10.15007712	9.983254219	9.176780337	9.787846508	9.760084374	15.2851177
erpe_2018_sw_0hr_WHONDRS-SW48-000085_F_scaffold_33__full-cat_1	53.37242546	73.6579311	71.84945461	37.67723613	37.98057352	41.89116382	35.78319985	21.45379791	29.89389363	51.88658828	30.01046791	26.94940749	45.33108546	16.90554064	14.40279114
erpe_2018_sw_0hr_WHONDRS-SW48-000085_F_scaffold_37__full-cat_2	41.52296591	35.56387087	41.01515993	52.7257702	53.37865416	55.71746009	60.11640115	70.90056695	59.50650992	50.2201577	75.76567008	56.19301007	73.12976561	80.9997461	53.33865383
erpe_2018_sw_0hr_WHONDRS-SW48-000085_F_scaffold_258__full-cat_1	38.68108991	61.5718638	50.04066855	28.61010304	19.58644011	26.21465773	17.20366192	15.86594954	12.03605345	39.96066847	13.11785256	7.532443088	12.11021742	4.723343585	6.264152427
erpe_2018_sw_0hr_WHONDRS-SW48-000085_F_scaffold_278__full-cat_2	18.89598248	12.93338653	18.76596566	19.14048316	21.62457124	22.62484844	29.21130719	35.72051031	28.06886161	30.23140715	22.22915865	16.84707206	29.99147672	28.05800402	18.36776898
erpe_2018_sw_3hr_WHONDRS-SW48-000086_A_NODE_7_length_79257_cov_6.449235__full-cat_1	137.390578	137.642301	143.7789834	97.12229977	95.15015157	95.01430796	84.22550143	85.93529245	70.6464007	69.76284351	64.3089339	76.65368554	47.05542094	66.77599011	89.21383187
erpe_2018_sw_3hr_WHONDRS-SW48-000086_A_NODE_26_length_44135_cov_2.460394__full-cat_1	14.80766965	33.7044759	19.61246456	12.10814443	9.772838745	10.70909493	8.098906579	3.912758075	7.803810744	23.56568486	15.58469315	9.619865225	14.25317771	5.368046406	5.60515334
erpe_2018_sw_3hr_WHONDRS-SW48-000086_A_NODE_43_length_38967_cov_3.653991__full-cat_1	17.69109354	69.83322626	14.92812263	11.25845008	17.96612587	10.46776321	10.87671688	8.78000156	8.595312085	0	0	0	0	0	3.994266685
erpe_2018_sw_3hr_WHONDRS-SW48-000086_A_NODE_57_length_35093_cov_12.039038__full-cat_1	72.9165551	97.27695454	71.92380924	69.82027882	83.41051629	80.90645802	72.63999994	63.16986724	78.97351811	63.08028859	56.40069548	52.9141819	48.41096791	42.40711889	44.63620478
erpe_2018_sw_3hr_WHONDRS-SW48-000086_A_NODE_85_length_29581_cov_2.205099__full-cat_1	7.869171246	17.52303234	9.688980744	0	0	6.204236217	4.841624332	2.003787253	0	11.41252453	7.174256763	0	6.139830396	2.825051945	2.88129045
