	SW48_000085	SW48_000086	SW48_000087	SW48_000088	SW48_000089	SW48_000090	SW48_000091	SW48_000092	SW48_000093	SW48_000094	SW48_000095	SW48_000096	SW48_000098	SW48_000099	SW48_000100	PP48_000085-4	PP48_000086-4	PP48_000087-4	PP48_000088-4	PP48_000089-4	PP48_000090-4	PP48_000091-4	PP48_000092-4	PP48_000093-4	PP48_000094-4	PP48_000095-4	PP48_000096-4	PP48_000097-4	PP48_000098-4	PP48_000099-4	PP48_000100-4	PP48_000101-4
erpe_2018_sw_42hr_WHONDRS-SW48-000099_B_k121_81669__full-cat_2	7.196095353	0	5.262020239	7.323023639	5.890198951	0	5.45659922	6.931081145	3.892093372	0	4.46459517	0	0	10.32419934	4.938832042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_sw_42hr_WHONDRS-SW48-000099_B_k121_84844__full-cat_1	0	0	0	0	0	0	0	3.113139502	0	0	10.19296326	0	0	17.70694206	16.09422213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_sw_42hr_WHONDRS-SW48-000099_B_k121_87513__full-cat_2	0	0	2.036173049	0	0	0	1.938734393	2.351447502	0	0	0	0	0	3.416029531	1.43149246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_sw_42hr_WHONDRS-SW48-000099_B_k121_115840__full-cat_2	7.852552088	0	6.846345898	9.637322713	0	0	7.166020944	8.33752488	5.435848054	0	6.158823498	0	0	12.37023538	6.505785425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_sw_42hr_WHONDRS-SW48-000099_B_k121_146812__full-cat_2	0	0	0	0	0	0	2.194105322	2.857135137	0	0	2.163314347	0	0	6.648497842	2.496874316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_sw_42hr_WHONDRS-SW48-000099_B_k121_150293__full-cat_1	0	0	2.67104723	0	0	0	3.486594917	3.764212332	2.662322693	4.334402751	2.775885502	0	4.136411712	2.941456621	5.228059419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_sw_42hr_WHONDRS-SW48-000099_B_k121_175958__full-cat_2	2.069085153	0	1.904622543	2.61616417	2.333660138	2.352984238	1.584342085	2.278754905	1.465258681	1.902087421	1.62248576	0	0	3.125017841	1.577936701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_sw_42hr_WHONDRS-SW48-000099_B_k121_208311__full-cat_2	2.25189589	2.753787486	2.997063701	2.582623604	2.323469483	3.227811711	2.803868558	2.177617378	3.198712032	2.693221127	3.200822248	5.041321387	2.252600113	2.959365033	3.752633686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_sw_42hr_WHONDRS-SW48-000099_B_k121_213544__full-cat_1	4.046764938	0	3.935076005	0	0	0	4.039029986	2.781281992	4.749008047	0	4.00102781	5.573023252	0	3.926419264	4.547093696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
erpe_2018_sw_42hr_WHONDRS-SW48-000099_B_k121_216996__full-cat_2	0	0	2.934148242	3.924246255	3.617682747	3.861307467	4.382998992	4.592275834	2.786608028	4.115578535	5.242726096	4.657314484	4.405527654	4.947198731	3.236417735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
