Genome,trimmed_erpe_2018_pw_0hr_WHONDRS-PP48-000085_95ID.sorted,trimmed_erpe_2018_pw_3hr_WHONDRS-PP48-000086_95ID.sorted,trimmed_erpe_2018_pw_6hr_WHONDRS-PP48-000087_95ID.sorted,trimmed_erpe_2018_pw_9hr_WHONDRS-PP48-000088_95ID.sorted,trimmed_erpe_2018_pw_12hr_WHONDRS-PP48-000089_95ID.sorted,trimmed_erpe_2018_pw_15hr_WHONDRS-PP48-000090_95ID.sorted,trimmed_erpe_2018_pw_18hr_WHONDRS-PP48-000091_95ID.sorted,trimmed_erpe_2018_pw_21hr_WHONDRS-PP48-000092_95ID.sorted,trimmed_erpe_2018_pw_24hr_WHONDRS-PP48-000093_95ID.sorted,trimmed_erpe_2018_pw_27hr_WHONDRS-PP48-000094_95ID.sorted,trimmed_erpe_2018_pw_30hr_WHONDRS-PP48-000095_95ID.sorted,trimmed_erpe_2018_pw_33hr_WHONDRS-PP48-000096_95ID.sorted,trimmed_erpe_2018_pw_36hr_WHONDRS-PP48-000097_95ID.sorted,trimmed_erpe_2018_pw_39hr_WHONDRS-PP48-000098_95ID.sorted,trimmed_erpe_2018_pw_42hr_WHONDRS-PP48-000099_95ID.sorted,trimmed_erpe_2018_pw_45hr_WHONDRS-PP48-000100_95ID.sorted,trimmed_erpe_2018_pw_48hr_WHONDRS-PP48-000101_95ID.sorted,trimmed_erpe_2018_sw_0hr_WHONDRS-SW48-000085_95ID.sorted,trimmed_erpe_2018_sw_3hr_WHONDRS-SW48-000086_95ID.sorted,trimmed_erpe_2018_sw_6hr_WHONDRS-SW48-000087_95ID.sorted,trimmed_erpe_2018_sw_9hr_WHONDRS-SW48-000088_95ID.sorted,trimmed_erpe_2018_sw_12hr_WHONDRS-SW48-000089_95ID.sorted,trimmed_erpe_2018_sw_15hr_WHONDRS-SW48-000090_95ID.sorted,trimmed_erpe_2018_sw_18hr_WHONDRS-SW48-000091_95ID.sorted,trimmed_erpe_2018_sw_21hr_WHONDRS-SW48-000092_95ID.sorted,trimmed_erpe_2018_sw_24hr_WHONDRS-SW48-000093_95ID.sorted,trimmed_erpe_2018_sw_27hr_WHONDRS-SW48-000094_95ID.sorted,trimmed_erpe_2018_sw_30hr_WHONDRS-SW48-000095_95ID.sorted,trimmed_erpe_2018_sw_33hr_WHONDRS-SW48-000096_95ID.sorted,trimmed_erpe_2018_sw_39hr_WHONDRS-SW48-000098_95ID.sorted,trimmed_erpe_2018_sw_42hr_WHONDRS-SW48-000099_95ID.sorted,trimmed_erpe_2018_sw_45hr_WHONDRS-SW48-000100_95ID.sorted
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1844398__full-cat_1,680,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1865051__full-cat_1,2922,1168,939,793,927,0,1798,1312,1285,694,1433,0,0,687,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1882085__full-cat_1,2151,731,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_1925751__full-cat_2,576,216,264,265,0,0,395,489,289,0,344,212,249,228,0,243,0,3644,2226,5993,2476,3149,2798,6888,13547,5580,6935,6291,2556,3209,5340,8642
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_2041611__full-cat_2,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,858,1841,822,1090,969,1814,2813,1466,1125,1517,782,900,1344,1478
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_2052575__full-cat_1,353,0,0,0,0,0,300,0,248,257,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_2052936__full_1-cat_1,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_2193903__full-cat_1,4208,0,0,0,0,0,1427,1398,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_k121_2223667__0_partial-cat_1,2144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_F_scaffold_4__full-cat_1,16393,5001,4212,1934,1629,2081,3453,0,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_F_scaffold_175__full-cat_1,3492,1036,1469,560,397,659,1213,0,390,0,379,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_F_scaffold_279__full-cat_1,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_k121_249144__full-cat_1,2512,678,485,450,0,0,562,590,718,0,363,0,0,0,0,0,0,538,383,531,0,694,551,658,875,922,736,535,0,544,494,403
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_k121_384700__full-cat_1,2205,605,942,355,0,377,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_k121_846510__full-cat_1,11842,4524,1531,1367,1562,2337,5096,2836,3305,0,0,1127,781,1773,1791,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_6hr_WHONDRS-PP48-000087_A_NODE_11_length_34717_cov_2.431367__full-cat_1,3847,1605,1623,928,0,0,1269,0,1153,0,0,0,0,0,0,0,0,8527,7889,12172,6267,8448,8163,13216,19125,11614,7208,9943,5056,4752,9343,11704
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_k121_863023__full-cat_1,399,493,0,0,0,228,443,218,433,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_6hr_WHONDRS-PP48-000087_A_NODE_19_length_25836_cov_2.424326__full-cat_1,8411,2690,2151,1007,735,1017,1699,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_6hr_WHONDRS-PP48-000087_B_k121_523646__full-cat_1,2978,2667,2335,1251,2121,2738,3845,1653,2258,991,0,1020,836,1043,3021,1832,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_6hr_WHONDRS-PP48-000087_F_scaffold_83__full-cat_1,566,546,1402,1291,726,714,2081,2060,3072,1799,1847,1026,1010,1021,611,763,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_A_NODE_6_length_41943_cov_8.575617__full-cat_1,0,0,0,14768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_A_NODE_7_length_41777_cov_6.017119__full-cat_1,8888,4359,2859,8767,5876,4364,15482,3658,3846,4123,4758,4416,2470,4594,4087,4293,2405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_A_NODE_8_length_40614_cov_5.740534__full-cat_1,8274,4379,9931,7112,4923,4548,12306,13225,16599,8093,6434,3976,3047,3279,2119,2400,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_61784__full-cat_2,240,0,0,750,451,251,1986,0,0,0,0,0,0,0,311,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_75853__full-cat_2,0,0,0,404,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_142881__full-cat_1,2433,1750,2020,1091,733,1617,1478,707,1777,756,1719,606,498,653,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_452607__full-cat_1,0,0,0,913,537,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_876214__full-cat_1,0,0,0,475,256,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_k121_1198905__full-cat_2,0,0,0,755,0,0,736,0,0,508,645,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_F_scaffold_66__full-cat_2,1139,569,1150,1648,1372,1385,2586,1692,3466,4241,6845,3337,2214,1877,1422,1761,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_F_scaffold_95__full-cat_1,333,410,984,953,576,539,1321,1680,1911,1277,1337,723,680,738,411,561,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_F_scaffold_97__full-cat_2,1334,736,1478,2015,1599,1640,3222,2220,4359,5187,8016,3895,2536,2159,1688,2124,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_12hr_WHONDRS-PP48-000089_A_NODE_5_length_42632_cov_3.586943__full-cat_2,7867,3834,2321,7235,5177,3599,13576,3461,3180,3653,3759,3525,2087,3921,3710,3950,2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_12hr_WHONDRS-PP48-000089_A_NODE_54_length_11615_cov_1.131093__full-cat_1,0,0,0,452,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_12hr_WHONDRS-PP48-000089_B_k121_521054__full-cat_1,0,0,0,0,336,0,582,271,0,0,0,0,0,389,0,0,0,0,0,454,243,0,0,397,528,287,0,351,0,235,638,1231
erpe_2018_pw_12hr_WHONDRS-PP48-000089_B_k121_916198__full-cat_1,605,254,0,643,614,288,1629,429,245,284,407,309,0,311,334,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_15hr_WHONDRS-PP48-000090_B_k121_565505__full-cat_1,712,716,1910,2102,1087,1135,3070,3268,4020,2538,2849,1623,1539,1588,975,1026,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_15hr_WHONDRS-PP48-000090_A_NODE_8_length_35635_cov_3.033992__full-cat_1,5599,2927,1921,5732,3891,2920,10198,2578,2600,2860,3167,2830,1645,3260,2823,2988,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_9_length_53871_cov_6.905869__full-cat_1,0,0,0,0,0,0,15282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_11_length_46236_cov_2.038669__full-cat_1,0,0,0,1217,1895,0,4179,1214,0,0,0,0,990,1697,0,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_NODE_13_length_42899_cov_1.834635__full-cat_1,0,0,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
